ID,missing_title,missing_year,missing_abstract
10.1145/3699682,0,0,1
10.1145/3698204,0,0,1
10.1145/3704323,0,0,1
10.1145/3678890,0,0,1
10.1145/3728199,0,0,1
10.1145/3604237,0,0,1
10.1145/3669754,0,0,1
10.1145/3670013,0,0,1
10.1145/3745812,0,0,1
10.1145/3726986,0,0,1
10.1145/3687272,0,0,1
10.1145/3677052,0,0,1
10.1145/3672758,0,0,1
10.1145/3730436,0,0,1
10.1145/3698322,0,0,1
10.1145/3545258,0,0,1
10.5555/3715674,0,0,1
10.1145/3716368,0,0,1
10.1145/3639474,0,0,1
10.1145/3640543,0,0,1
10.1145/3663548,0,0,1
10.1145/3677525,0,0,1
10.1145/3695080,0,0,1
10.1145/3733155,0,0,1
10.1145/3639477,0,0,1
10.1145/3627508,0,0,1
10.1145/3613904,0,0,1
10.1145/3623809,0,0,1
10.1145/3607822,0,0,1
10.1145/3755881,0,0,1
10.1145/3675249,0,0,1
10.1145/3760023,0,0,1
10.1145/3703187,0,0,1
10.1145/3672919,0,0,1
10.1145/3644116,0,0,1
10.1145/3745533,0,0,1
10.1145/3613905,0,0,1
10.1145/3651671,0,0,1
10.1145/3715335,0,0,1
10.1145/3613372,0,0,1
10.1145/3726122,0,0,1
10.1145/3696409,0,0,1
10.1145/3727993,0,0,1
10.1145/3689236,0,0,1
10.1145/3638530,0,0,1
10.1145/3708821,0,0,1
10.1145/3698038,0,0,1
10.1145/3718751,0,0,1
10.1145/3690407,0,0,1
10.1145/3664476,0,0,1
10.1145/3638067,0,0,1
10.1145/3679318,0,0,1
10.1145/3705328,0,0,1
10.1145/3640457,0,0,1
10.1145/3604915,0,0,1
10.1145/3593013,0,0,1
10.1145/3544549,0,0,1
10.1145/3624062,0,0,1
10.1145/3746059,0,0,1
10.1145/3766918,0,0,1
10.1145/3734921,0,0,1
10.1145/3728725,0,0,1
10.1145/3665348,0,0,1
